Name,Symbol
Bitcoin,BTC
Ethereum,ETH
Binance Coin,BNB
XRP,XRP
Dogecoin,DOGE
Cardano,ADA
Solana,SOL
TRON,TRX
Toncoin,TON
Polkadot,DOT
Dai,DAI
Polygon,MATIC
Litecoin,LTC
Shiba Inu,SHIB
Wrapped Bitcoin,WBTC
Bitcoin Cash,BCH
UNUS SED LEO,LEO
Avalanche,AVAX
Chainlink,LINK
Stellar,XLM
Monero,XMR
OKB,OKB
Uniswap,UNI
Cosmos,ATOM
Ethereum Classic,ETC
Hedera,HBAR
Mantle,MNT
Internet Computer,ICP
Filecoin,FIL
Lido DAO,LDO
Aptos,APT
Cronos,CRO
Quant,QNT
Arbitrum,ARB
VeChain,VET
Maker,MKR
NEAR Protocol,NEAR
Optimism,OP
XDC Network,XDC
The Graph,GRT
Aave,AAVE
Algorand,ALGO
Tezos,XTZ
Stacks,STX
MultiversX,EGLD
EOS,EOS
The Sandbox,SAND
Axie Infinity,AXS
Immutable,IMX
Theta Network,THETA
Bitcoin SV,BSV
Injective,INJ
Fantom,FTM
Decentraland,MANA
THORChain,RUNE
Synthetix,SNX
ApeCoin,APE
Render,RNDR
Neo,NEO
Pax Dollar,USDP
Kava,KAVA
Tether Gold,XAUt
PAX Gold,PAXG
IOTA,MIOTA
eCash,XEC
Chiliz,CHZ
Flow,FLOW
Rocket Pool,RPL
Gala,GALA
Klaytn,KLAY
Frax Share,FXS
Casper,CSPR
Zcash,ZEC
Conflux,CFX
Sui,SUI
BitTorrent (New),BTT
Huobi Token,HT
Curve DAO Token,CRV
KuCoin Token,KCS
GateToken,GT
Mina,MINA
Terra Classic,LUNC
Trust Wallet Token,TWT
Nexo,NEXO
dYdX,DYDX
Compound,COMP
Pepe,PEPE
APENFT,NFT
Flare,FLR
Gemini Dollar,GUSD
GMX,GMX
WOO Network,WOO
Astar,ASTR
Dash,DASH
SafePal,SFP